AWAY,HOME,Start Date,Start Time,End Date,End Time,Description,Location,Private,Show time as
NSH , CHI,10/18/2014,8:30:00 PM,10/18/2014,11:30:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
STL , ARZ,10/18/2014,9:00:00 PM,10/19/2014,12:00:00 AM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
TBL , VAN,10/18/2014,10:00:00 PM,10/19/2014,1:00:00 AM,Provided by Left Wing Lock - http://www.leftwinglock.com,CBC,FALSE,FREE
MIN , LAK,10/19/2014,3:00:00 PM,10/19/2014,6:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
SJS , NYR,10/19/2014,5:00:00 PM,10/19/2014,8:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
CGY , WPG,10/19/2014,7:00:00 PM,10/19/2014,10:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,CITY TV,FALSE,FREE
STL , ANA,10/19/2014,8:00:00 PM,10/19/2014,11:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
TBL , EDM,10/20/2014,9:30:00 PM,10/21/2014,12:30:00 AM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
NYR , NJD,10/21/2014,7:00:00 PM,10/21/2014,10:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
SJS , BOS,10/21/2014,7:00:00 PM,10/21/2014,10:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
TOR , NYI,10/21/2014,7:00:00 PM,10/21/2014,10:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
DET , MTL,10/21/2014,7:30:00 PM,10/21/2014,10:30:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
ARZ , NSH,10/21/2014,8:00:00 PM,10/21/2014,11:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
CAR , WPG,10/21/2014,8:00:00 PM,10/21/2014,11:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
PHI , CHI,10/21/2014,8:30:00 PM,10/21/2014,11:30:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
VAN , DAL,10/21/2014,8:30:00 PM,10/21/2014,11:30:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
FLA , COL,10/21/2014,9:00:00 PM,10/22/2014,12:00:00 AM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
TBL , CGY,10/21/2014,9:00:00 PM,10/22/2014,12:00:00 AM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
TOR , OTT,10/22/2014,7:00:00 PM,10/22/2014,10:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,SN,FALSE,FREE
PHI , PIT,10/22/2014,8:00:00 PM,10/22/2014,11:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
WSH , EDM,10/22/2014,9:30:00 PM,10/23/2014,12:30:00 AM,Provided by Left Wing Lock - http://www.leftwinglock.com,SN,FALSE,FREE
BUF , ANA,10/22/2014,10:30:00 PM,10/23/2014,1:30:00 AM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
NYI , BOS,10/23/2014,7:00:00 PM,10/23/2014,10:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
PIT , DET,10/23/2014,7:30:00 PM,10/23/2014,10:30:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
ARZ , MIN,10/23/2014,8:00:00 PM,10/23/2014,11:00:00 PM,Provided by Left Wing Lock - http://www.leftwinglock.com,,FALSE,FREE
